id,station,name,type,logo,genre,broadcaster,language,country,region,bitrate,format,geo_fenced,home_page,reserved2,logoMissing,logoFile,Match1,Match2,Match3,Match Chk
562,http://edge-bauerall-01-gos2.sharp-stream.com/heat.aac,heat Radio,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,heat Radio.jpg,heat Radio,ACC-bauerall,48s,heat Radio
563,http://edge-bauerall-01-gos2.sharp-stream.com/jazz.aac,Jazz FM,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Jazz FM.jpg,Jazz FM,ACC-bauerall,48s,Jazz FM
564,http://edge-bauerall-01-gos2.sharp-stream.com/kerrang.aac,Kerrang! Radio,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Kerrang! Radio.jpg,Kerrang! Radio,ACC-bauerall,48s,Kerrang! Radio
565,http://edge-bauerall-01-gos2.sharp-stream.com/kissnational.aac,KISS (UK),r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,KISS (UK).jpg,KISS (UK),ACC-bauerall,48s,KISS (UK)
566,http://edge-bauerall-01-gos2.sharp-stream.com/kissfresh.aac,KISS FRESH,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,KISS FRESH.png,KISS FRESH,ACC-bauerall,48s,KISS FRESH
567,http://edge-bauerall-01-gos2.sharp-stream.com/kisstory.aac,KISSTORY,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,KISSTORY.jpg,KISSTORY,ACC-bauerall,48s,KISSTORY
568,http://edge-bauerall-01-gos2.sharp-stream.com/planetrock.aac,Planet Rock,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Planet Rock.jpg,Planet Rock,ACC-bauerall,48s,Planet Rock
569,http://edge-bauerall-01-gos2.sharp-stream.com/cfm.aac,Greatest Hits Radio (North West) (Cumbria),r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Greatest Hits Radio (North West) (Cumbria).jpg,Greatest Hits Radio (North West) (Cumbria),ACC-bauerall,48s,Greatest Hits Radio (North West) (Cumbria)
570,http://edge-bauerall-01-gos2.sharp-stream.com/key.aac,Hits Radio (Manchester),r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Hits Radio (Manchester).jpg,Hits Radio (Manchester),ACC-bauerall,48s,Hits Radio (Manchester)
571,http://edge-bauerall-01-gos2.sharp-stream.com/hits.aac,Hits Radio (UK),r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Hits Radio (UK).jpg,Hits Radio (UK),ACC-bauerall,48s,Hits Radio (UK)
